id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
665, no checking account,24, critical account/ other credits existing (not at this bank), others,6314, little, unemployed,4," male, single", co-applicant,2, unknown / no property,27," bank,", own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
666, little,30, all credits at this bank paid back duly, furniture/equipment,3496, rich, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",34, stores, own,1, skilled employee / official,2, yes, yes,1
667, no checking account,48, all credits at this bank paid back duly, business,3609, little, 1 to 4 years,1," female, divorced/separated/married", none,1, real estate,27, stores, own,1, skilled employee / official,1, none, yes,1
668, poor,12, critical account/ other credits existing (not at this bank), car (new),4843, little, more than 7 years,3," male, single", co-applicant,4, building society savings agreement/ life insurance,43, none, rent,2, skilled employee / official,1, yes, yes,2
669, moderate,30, critical account/ other credits existing (not at this bank), radio/television,3017, little, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,47, none, own,1, skilled employee / official,1, none, yes,1
670, no checking account,24, critical account/ other credits existing (not at this bank), business,4139, moderate, 1 to 4 years,3," male, single", none,3, building society savings agreement/ life insurance,27, none, own,2, unskilled - resident,1, yes, yes,1
671, no checking account,36, existing credits paid back duly till now, business,5742, moderate, 4 to 7 years,2," male, single", none,2," car or other, not in attribute 6",31, none, own,2, skilled employee / official,1, yes, yes,1
672, no checking account,60, existing credits paid back duly till now, car (new),10366, little, more than 7 years,2," male, single", none,4, building society savings agreement/ life insurance,42, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
673, no checking account,6, critical account/ other credits existing (not at this bank), car (new),2080, quite rich, 1 to 4 years,1," male, married/widowed", none,2," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, none, yes,1
674, no checking account,21, delay in paying off in the past, business,2580, quite rich, less than 1 year,4," male, single", none,2, real estate,41," bank,", own,1, unskilled - resident,2, none, yes,2
675, no checking account,30, critical account/ other credits existing (not at this bank), radio/television,4530, little, 4 to 7 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",26, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
676, no checking account,24, critical account/ other credits existing (not at this bank), furniture/equipment,5150, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",33, none, own,1, skilled employee / official,1, yes, yes,1
677, little,72, existing credits paid back duly till now, radio/television,5595, moderate, 1 to 4 years,2," male, married/widowed", none,2," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, none, yes,2
678, poor,24, existing credits paid back duly till now, radio/television,2384, little, more than 7 years,4," male, single", none,4, real estate,64," bank,", rent,1, unskilled - resident,1, none, yes,1
679, no checking account,18, existing credits paid back duly till now, radio/television,1453, little, less than 1 year,3," female, divorced/separated/married", none,1, real estate,26, none, own,1, skilled employee / official,1, none, yes,1
680, no checking account,6, existing credits paid back duly till now, education,1538, little, less than 1 year,1," female, divorced/separated/married", none,2, unknown / no property,56, none, own,1, skilled employee / official,1, none, yes,1
681, no checking account,12, existing credits paid back duly till now, radio/television,2279, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, unknown / no property,37, none, for free,1, skilled employee / official,1, yes, yes,1
682, no checking account,15, delay in paying off in the past, radio/television,1478, little, 1 to 4 years,4," male, married/widowed", none,3, real estate,33," bank,", own,2, skilled employee / official,1, none, yes,1
683, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,5103, little, less than 1 year,3," male, married/widowed", none,3, unknown / no property,47, none, for free,3, skilled employee / official,1, yes, yes,1
684, little,36, delay in paying off in the past, business,9857, moderate, 4 to 7 years,1," male, single", none,3, building society savings agreement/ life insurance,31, none, own,2, unskilled - resident,2, yes, yes,1
685, no checking account,60, existing credits paid back duly till now, car (new),6527, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, unknown / no property,34, none, for free,1, skilled employee / official,2, yes, yes,1
686, moderate,10, critical account/ other credits existing (not at this bank), radio/television,1347, unknown/ no savings account, 4 to 7 years,4," male, single", none,2, building society savings agreement/ life insurance,27, none, own,2, skilled employee / official,1, yes, yes,1
687, little,36, delay in paying off in the past, car (new),2862, moderate, more than 7 years,4," male, single", none,3, unknown / no property,30, none, for free,1, skilled employee / official,1, none, yes,1
688, no checking account,9, existing credits paid back duly till now, radio/television,2753, moderate, more than 7 years,3," male, single", co-applicant,4," car or other, not in attribute 6",35, none, own,1, skilled employee / official,1, yes, yes,1
689, poor,12, existing credits paid back duly till now, car (new),3651, rich, 1 to 4 years,1," male, single", none,3, building society savings agreement/ life insurance,31, none, own,1, skilled employee / official,2, none, yes,1
690, poor,15, critical account/ other credits existing (not at this bank), furniture/equipment,975, little, 1 to 4 years,2," male, divorced/separated", none,3, building society savings agreement/ life insurance,25, none, own,2, skilled employee / official,1, none, yes,1
691, little,15, existing credits paid back duly till now, repairs,2631, moderate, 1 to 4 years,3," female, divorced/separated/married", none,2, real estate,25, none, own,1, unskilled - resident,1, none, yes,1
692, little,24, existing credits paid back duly till now, radio/television,2896, moderate, less than 1 year,2," male, single", none,1," car or other, not in attribute 6",29, none, own,1, skilled employee / official,1, none, yes,1
693, poor,6, critical account/ other credits existing (not at this bank), car (new),4716, unknown/ no savings account, less than 1 year,1," male, single", none,3, real estate,44, none, own,2, unskilled - resident,2, none, yes,1
694, no checking account,24, existing credits paid back duly till now, radio/television,2284, little, 4 to 7 years,4," male, single", none,2," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, yes, yes,1
695, no checking account,6, existing credits paid back duly till now, car (used),1236, quite rich, 1 to 4 years,2," male, single", none,4, building society savings agreement/ life insurance,50, none, rent,1, skilled employee / official,1, none, yes,1
696, little,12, existing credits paid back duly till now, radio/television,1103, little, 4 to 7 years,4," male, single", guarantor,3, real estate,29, none, own,2, skilled employee / official,1, none, no,1
697, no checking account,12, critical account/ other credits existing (not at this bank), car (new),926, little, unemployed,1," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,38, none, own,1, unemployed/ unskilled - non-resident,1, none, yes,1
